Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Years,Item_Visibility_MeanRatio,Identifier,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Type_Combined_Drinks,Item_Type_Combined_Food,Item_Type_Combined_Non-Consumable,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
DRH01,174.8738,2085.2856,14,0.097904029,17.5,1997,OUT046,21,1.4844564382298964,64,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
NCX29,146.7102,3791.0652,8,0.089291137,10.0,1999,OUT049,19,1.353864642245905,1533,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDV20,128.0678,2797.6916,6,0.059511812,12.792854228644991,1985,OUT027,33,0.9023397032427256,1032,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
DRZ11,122.5388,1609.9044,14,0.113123893,8.85,2009,OUT018,9,1.7152255427759762,143,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
FDX10,36.9874,388.1614,13,0.123111453,12.792854228644991,1985,OUT027,33,1.8666605541400882,1124,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDB34,87.6198,2180.495,13,0.026480954,12.792854228644991,1985,OUT027,33,0.40151384020947417,214,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDU02,230.6352,3435.528,4,0.102511504,13.35,1997,OUT046,21,1.554316647228377,968,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDK43,126.002,2150.534,10,0.02681843,9.8,1987,OUT013,31,0.4066307738644525,567,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA46,192.9136,2527.3768,13,0.117818348,13.6,1999,OUT049,19,1.7864045741182975,180,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDC02,259.9278,6768.5228,3,0.069102831,21.35,2009,OUT018,9,1.0477622159744056,236,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDL50,126.5046,373.5138,3,0.042277867,12.15,1987,OUT013,31,0.6410323712293522,611,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDM39,178.1002,358.2004,4,0.089498926,6.42,1998,OUT010,20,1.3570152145154422,641,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
NCP05,153.3024,2428.8384,8,0.0,19.6,2002,OUT045,16,0.0,1438,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDV49,265.2226,5815.0972,3,0.025879577,10.0,2002,OUT045,16,0.39239554376578667,1057,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDL12,60.622,2576.646,0,0.121632721,15.85,1997,OUT046,21,1.8442394826046506,586,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS02,196.8794,780.3176,4,0.255394896,12.792854228644991,1985,OUT019,33,3.872390151157669,869,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
NCL17,143.8812,3134.5864,8,0.067779712,7.39,1997,OUT046,21,1.027700605250558,1378,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDM40,141.5154,850.8924,5,0.159803853,10.195,1987,OUT013,31,2.4230040465422924,642,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDR13,117.0492,810.9444,3,0.028696932,9.895,1987,OUT013,31,0.4351133033028246,830,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA43,196.3794,3121.2704,6,0.065041581,10.895,2007,OUT017,11,0.986184068769032,177,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCP18,151.4708,4815.0656,9,0.028760013,12.15,2007,OUT017,11,0.43606976033055306,1442,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
FDK21,249.0408,6258.52,13,0.010053105,7.905,2009,OUT018,9,0.1524288284545589,553,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCX54,106.1622,2117.244,9,0.048157338,9.195,2002,OUT045,16,0.7301790454620948,1538,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
DRK35,38.0506,796.9626,7,0.071958197,8.365,1999,OUT049,19,1.0910563120958507,107,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
FDY21,194.511,4910.275,13,0.173481304,15.1,1997,OUT046,21,2.6303865251073364,1183,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDI26,180.0344,892.172,3,0.061082177,12.792854228644991,1985,OUT019,33,0.9261501475975835,485,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDM20,246.9144,3185.1872,6,0.0,10.0,2009,OUT018,9,0.0,629,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDV27,87.3514,1062.6168,10,0.040071131,7.97,2002,OUT045,16,0.6075730386959212,1039,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDF09,38.2848,484.7024,6,0.012090074,12.792854228644991,1985,OUT027,33,0.18331409208885444,361,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDY40,51.0692,147.8076,5,0.15028599,12.792854228644991,1985,OUT019,33,2.278690751646736,1199,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDY45,255.8356,2543.356,13,0.026015519,12.792854228644991,1985,OUT027,33,0.3944567457325193,1202,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDC46,185.4266,184.4266,13,0.195068226,17.7,1998,OUT010,20,2.957695275030862,266,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDH19,172.5738,4865.6664,10,0.033082215,19.35,2004,OUT035,14,0.5016045565158064,441,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDZ03,186.024,1118.544,4,0.078946455,13.65,2002,OUT045,16,1.1970148174410349,1218,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRH37,164.8526,2302.3364,14,0.041700756,17.6,2002,OUT045,16,0.6322820046890407,72,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
NCI17,95.841,2027.361,8,0.143422643,8.645,1997,OUT046,21,2.17462619224075,1343,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
FDJ58,170.1764,3435.528,13,0.105296072,15.6,1997,OUT046,21,1.5965372783659264,541,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDL12,59.222,599.22,0,0.121531501,15.85,1987,OUT013,31,1.8427047482100363,586,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDH35,164.7526,4604.6728,15,0.0,18.25,2002,OUT045,16,0.0,453,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDG02,189.6188,2285.0256,3,0.011324862,7.855,2007,OUT017,11,0.17171166988403613,394,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
NCZ18,254.3698,5580.7356,9,0.186357148,7.825,1999,OUT049,19,2.8256147472619504,1552,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
FDC29,114.0176,2290.352,5,0.024205661,8.39,1997,OUT046,21,0.3670150215478906,254,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDQ10,172.3422,1207.0954,13,0.033230816,12.85,1999,OUT049,19,0.5038576988372262,781,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDN48,89.9804,643.1628,0,0.113720344,12.792854228644991,1985,OUT019,33,1.7242691494189535,682,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDL04,104.9622,1587.933,5,0.112556507,19.0,2007,OUT017,11,1.706622630216969,582,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDV25,222.5456,5305.0944,3,0.0,5.905,2002,OUT045,16,0.0,1037,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD58,101.87,1697.79,13,0.059352241,7.76,1997,OUT046,21,0.899920229797922,316,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN04,180.3344,1427.4752,5,0.014087057,11.8,1997,OUT046,21,0.21359307347158848,656,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDV45,187.9556,4693.89,13,0.045230944,16.75,2009,OUT018,9,0.6858079970132374,1053,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCL18,194.6136,583.2408,9,0.293417759,12.792854228644991,1985,OUT019,33,4.448906606678445,1379,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
FDR12,171.3764,3091.9752,0,0.031382044,12.792854228644991,1985,OUT027,33,0.47582594645429643,829,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDG20,177.0028,2479.4392,6,0.12639886,15.5,2007,OUT017,11,1.9165054127845884,404,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ55,160.992,2716.464,6,0.025403898,6.055,2004,OUT035,14,0.3851831260410702,1258,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDQ49,155.963,3285.723,2,0.039057677,12.792854228644991,1985,OUT027,33,0.592206681146429,811,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDN33,95.6436,661.8052,13,0.123115764,6.305,1997,OUT046,21,1.866725919087482,674,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDN27,117.2808,1523.3504,10,0.039624006,20.85,1999,OUT049,19,0.6007935670876225,670,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDW20,122.173,369.519,6,0.040421193,20.75,1998,OUT010,20,0.612880805853079,1082,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
DRG27,39.9138,690.4346,4,0.105274111,8.895,1999,OUT049,19,1.596204297709533,57,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
DRI25,55.1614,1381.535,14,0.033970195,19.6,2002,OUT045,16,0.5150684317156655,82,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDA44,57.893,622.523,6,0.053212652,19.7,2004,OUT035,14,0.8068295519961387,178,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCR17,114.5492,1274.3412,8,0.024378706,9.8,2004,OUT035,14,0.36963879267332095,1468,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
FDU04,120.0414,487.3656,5,0.009714595,12.792854228644991,1985,OUT019,33,0.14729621691611852,970,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDF41,246.046,1231.73,5,0.131383762,12.15,1999,OUT049,19,1.9920883070068993,382,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDB56,187.4556,3755.112,6,0.07461309,8.75,2004,OUT035,14,1.1313107637963165,231,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
NCP18,149.9708,4363.6532,9,0.028459761,12.792854228644991,1985,OUT027,33,0.43151723048020946,1442,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDB56,187.8556,1314.2892,6,0.074627201,8.75,1997,OUT046,21,1.131524719902248,231,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDT28,151.0708,1805.6496,5,0.063695084,13.3,2002,OUT045,16,0.9657679923202553,940,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD10,178.5344,2854.9504,13,0.045797829,12.792854228644991,1985,OUT027,33,0.6944033132283234,284,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDW57,179.1028,3896.2616,13,0.115857223,8.31,1999,OUT049,19,1.7566692847521814,1113,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
DRB48,38.7822,667.7974,14,0.024832806,16.75,1987,OUT013,31,0.3765240217643545,7,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDP09,212.0902,3185.853,13,0.034027909,19.75,2009,OUT018,9,0.5159435123405497,737,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
FDH14,141.1838,2247.7408,3,0.0467696,17.1,1987,OUT013,31,0.7091376579960459,438,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDA47,163.121,1794.331,0,0.116576702,10.5,1987,OUT013,31,1.76757828660461,181,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
FDG12,121.3098,2530.7058,0,0.0,6.635,2002,OUT045,16,0.0,400,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
DRE60,225.372,679.116,14,0.278974075,12.792854228644991,1985,OUT019,33,4.229906225135841,36,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
DRK49,41.4138,812.276,14,0.035913805,14.15,1987,OUT013,31,0.5445381522918025,111,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
FDD03,232.53,699.09,4,0.079806266,13.3,1997,OUT046,21,1.2100515840342758,279,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
FDS52,102.4016,2732.4432,5,0.005505481,8.89,2007,OUT017,11,0.08347610205094182,910,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDW39,176.937,176.437,10,0.064625342,12.792854228644991,1985,OUT019,33,0.9798729019079381,1099,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
FDX34,121.7098,4097.3332,13,0.071636937,12.792854228644991,1985,OUT027,33,1.0861852513211634,1144,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
FDV11,173.2054,3151.8972,1,0.0,9.1,2002,OUT045,16,0.0,1025,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
FDD17,239.0906,5942.265,5,0.032677678,7.5,1999,OUT049,19,0.49547081962789746,288,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
FDZ16,192.4478,4843.695,5,0.160760054,16.85,2007,OUT017,11,2.4375023133162967,1228,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDZ46,109.0228,2542.0244,13,0.06911065,7.485,2004,OUT035,14,1.0478807704916104,1251,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRA12,140.3154,2552.6772,14,0.041177505,11.6,2007,OUT017,11,0.6243482830261639,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
FDY58,227.0694,1141.847,13,0.040081193,11.65,2009,OUT018,9,0.6077256023935956,1213,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
NCF19,47.5034,680.4476,9,0.035307322,13.0,2007,OUT017,11,0.535342436822044,1317,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
DRJ13,159.0578,2085.9514,14,0.063017847,12.65,2002,OUT045,16,0.9554994790105784,91,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
FDB14,92.512,186.424,3,0.171938781,20.25,1998,OUT010,20,2.6069982312663575,200,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDJ38,190.153,3036.048,3,0.040197932,8.6,2004,OUT035,14,0.6094956415014092,528,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
FDW11,62.7194,866.8716,1,0.049058014,12.6,2007,OUT017,11,0.7438354220240762,1075,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
FDL40,95.041,868.869,5,0.01161096,17.7,2004,OUT035,14,0.17604959164683404,605,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
DRI49,82.4276,1137.1864,14,0.183507295,14.15,1997,OUT046,21,2.782404241248364,86,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
FDV38,52.7956,928.1252,4,0.102349519,19.25,2007,OUT017,11,1.5518605718390108,1048,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
DRG23,151.7682,762.341,7,0.086708987,8.88,1987,OUT013,31,1.3147131463255959,55,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
NCP30,40.2822,707.0796,9,0.032835147,20.5,2002,OUT045,16,0.497858421785431,1444,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
FDY25,180.5976,7968.2944,3,0.033809913,12.792854228644991,1985,OUT027,33,0.5126381778306862,1186,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
NCH54,160.292,1438.128,9,0.07266912,13.5,1997,OUT046,21,1.1018355847694576,1340,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
NCR53,224.4404,6976.2524,8,0.144338493,12.792854228644991,1985,OUT027,33,2.188512642500656,1476,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
FDS52,101.7016,101.2016,5,0.009163216,8.89,1998,OUT010,20,0.13893600830351116,910,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
FDG02,188.5188,952.094,3,0.011307038,7.855,2009,OUT018,9,0.17144141592385428,394,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
